name,rating,price,amazon_link,image_link,tdp,socket,supported_memory,core_count,thread_count,performance_core_clock,boost_clock,cache,lithography,generation
AMD Phenom II X2 560 Black 3.3 GHz Dual-Core Processor,N/A,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/31sEL2Xx2LL.jpg,80,AM3,DDR4,2,2,3.3,N/A,6,45,AMD K10
AMD Phenom II X4 905e 2.5 GHz Quad-Core Processor,N/A,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/51p9gCVFukL.jpg,65,AM3,DDR4,4,4,2.5,N/A,6,45,AMD K10
AMD Ryzen 5 1600X 3.6 GHz 6-Core Processor,4.9,125.0,https://www.amazon.com/dp/B06XKWT7GD?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/62069eabe77fa79c55158028545484f2.256p.jpg,95,AM4,DDR4,6,12,3.6,4,16,14,AMD Zen
AMD Ryzen 5 7500F 3.7 GHz 6-Core Processor,4.9,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,65,AM5,DDR5,6,12,3.7,5,32,5,AMD Zen 4
Intel Core i7-8700K 3.7 GHz 6-Core Processor,4.9,169.83,https://www.amazon.com/dp/B07598VZR8?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/d7dea28613ac935e748d330d16ffea69.256p.jpg,95,LGA 1151,DDR4,6,12,3.7,4.7,12,14,Intel Coffee Lake
Intel Core i9-9900K (Standard Folding Box) 3.6 GHz 8-Core Processor,4.8,380.0,https://www.amazon.com/dp/B089J731BX?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/d6a4bfb6fab5e161ba810775a1cfcd4e.256p.jpg,95,LGA 1151,DDR4,8,16,3.6,5,16,14,Intel Coffee Lake Refresh
Intel Core i9-12900F 2.4 GHz 16-Core Processor,N/A,360.9,https://www.amazon.com/dp/B09RPNW7CM?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/c709a7db2862582c1870c1b399fd7499.256p.jpg,65,LGA 1700,DDR4,16,24,2.4,5.1,30,10,Intel Alder Lake
AMD Athlon II X4 630 2.8 GHz Quad-Core Processor,N/A,N/A,N/A,https://m.media-amazon.com/images/I/514I1qJUxvL.jpg,95,AM3,DDR4,4,4,2.8,N/A,0,45,AMD K10
AMD Phenom II X4 965 3.4 GHz Quad-Core OEM/Tray Processor,4.0,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,125,AM3,DDR4,4,4,3.4,N/A,6,45,AMD K10
AMD Threadripper 2920X 3.5 GHz 12-Core OEM/Tray Processor,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/29e90ad73f7c36800dac9c44a7e51a9e.256p.jpg,180,sTR4,DDR4,12,24,3.5,4.3,32,12,AMD Zen+
Intel Core i3-8100T 3.1 GHz Quad-Core OEM/Tray Processor,N/A,N/A,N/A,https://m.media-amazon.com/images/I/51rYvBRk8LL.jpg,35,LGA 1151,DDR4,4,4,3.1,N/A,6,14,Intel Coffee Lake
