name,rating,price,amazon_link,image_link,tdp,socket,chipset,ram_type,ram_max_speed,ram_slot,ram_max,pcie_x16_slot,pcie_x1_slot,m2_slot,sata_slot,lan,wifi,form_factor
MSI PRO Z690-A ATX LGA1700 Motherboard,5.0,229.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=24348&murl=https%3A%2F%2Fwww.gamestop.com%2Fpc-gaming%2Fpc-components%2Fmotherboards%2Fproducts%2Fmsi-pro-z690-a-ddr5-lga-1700-atx-intel-motherboard%2F325954.html,https://cdna.pcpartpicker.com/static/forever/images/product/9a893a5445108a083b1727bcd344b9c1.256p.jpg,80,LGA 1700,Intel Z690,DDR5,0,4,192,3,1,4,6,1x 2.5GB/s,No,ATX
ASRock Z790 PG Lightning/D4 ATX LGA1700 Motherboard,N/A,149.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fasrock-z790-pg-lightningd4-atx-intel-z790-lga-1700%2Fp%2FN82E16813162085,https://cdna.pcpartpicker.com/static/forever/images/product/734e5145e6e94b381114913f48776a44.256p.jpg,80,LGA 1700,Intel Z790,DDR4,2133,4,128,2,3,4,4,1x 2.5GB/s,No,ATX
Gigabyte Z690 AORUS PRO ATX LGA1700 Motherboard,4.7,396.0,https://www.amazon.com/dp/B09J5Z48MP?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/e9ca40040bf3b820315f0c355fb0c623.256p.jpg,80,LGA 1700,Intel Z690,DDR5,0,4,192,3,0,4,6,1x 2.5GB/s,Wi-Fi 6,ATX
Asus PRIME B760M-A AX D4 Micro ATX LGA1700 Motherboard,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/18887870cafc66f32705ce236bc03d05.256p.jpg,80,LGA 1700,Intel B760,DDR4,0,4,128,4,0,2,6,1x 2.5GB/s,Wi-Fi 6,Micro-ATX
Gigabyte B760M GAMING X AX Micro ATX LGA1700 Motherboard,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/36fff2566501ac4f30dc62e32776b397.256p.jpg,80,LGA 1700,Intel B760,DDR5,0,4,192,2,0,2,4,1x 2.5GB/s,Wi-Fi 6E,Micro-ATX
ASRock Z690M PG RIPTIDE/D5 Micro ATX LGA1700 Motherboard,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/8d57cd1736cfdce21702c2b881e4efb1.256p.jpg,80,LGA 1700,Intel Z690,DDR5,0,4,192,2,1,2,4,1x 2.5GB/s,No,Micro-ATX
MSI PRO B660M-G Micro ATX LGA1700 Motherboard,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/8658cf6d48409be106fc2995fad9984d.256p.jpg,80,LGA 1700,Intel B660,DDR5,0,2,96,1,1,2,4,1x 2.5GB/s,No,Micro-ATX
Biostar Z690 VALKYRIE ATX LGA1700 Motherboard,N/A,825.0,https://www.amazon.com/dp/B09LQJB3LB?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/41ctPbLzkXL.jpg,80,LGA 1700,Intel Z690,DDR5,0,4,192,3,0,4,8,1x 2.5GB/s,No,ATX
Asus ROG MAXIMUS Z790 HERO EVA-02 EDITION ATX LGA1700 Motherboard,N/A,N/A,N/A,https://static/forever/img/no-image.png,80,LGA 1700,Intel Z790,DDR5,0,4,192,3,0,3,6,1x 2.5GB/s,Wi-Fi 6E,ATX
Asus Pro H610M-C-CSM Micro ATX LGA1700 Motherboard,N/A,N/A,N/A,https://static/forever/img/no-image.png,80,LGA 1700,Intel H610,DDR5,0,2,64,1,2,1,4,1x 1GB/s,No,Micro-ATX
Asus PRIME H670-PLUS D4-CSM ATX LGA1700 Motherboard,N/A,N/A,N/A,https://m.media-amazon.com/images/I/41znXbd8wkL.jpg,80,LGA 1700,Intel H670,DDR4,0,4,128,3,2,3,4,1x 2.5GB/s,No,ATX
Asus PRIME H610M-E Micro ATX LGA1700 Motherboard,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/7e812ac7ffc64a148eea6799a92d3a64.256p.jpg,80,LGA 1700,Intel H610,DDR5,0,2,96,1,1,2,4,1x 1GB/s,No,Micro-ATX
MSI PRO B760M-G Micro ATX LGA1700 Motherboard,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/bde13bcf9eb92027c23e9aa76d6289a9.256p.jpg,80,LGA 1700,Intel B760,DDR5,0,2,96,1,1,2,4,1x 2.5GB/s,No,Micro-ATX
Biostar B760MX-E Micro ATX LGA1700 Motherboard,N/A,N/A,N/A,https://m.media-amazon.com/images/I/51I9+oi2OfL.jpg,80,LGA 1700,Intel B760,DDR5,0,2,96,1,1,1,4,1x 1GB/s,No,Micro-ATX
Asus EX-B760M-V5-CSM Micro ATX LGA1700 Motherboard,N/A,N/A,N/A,https://static/forever/img/no-image.png,80,LGA 1700,Intel B760,DDR5,0,2,96,1,2,2,4,1x 2.5GB/s,No,Micro-ATX
Gigabyte Z690I AORUS ULTRA LITE DDR4 (rev. 1.0) Mini ITX LGA1700 Motherboard,3.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/d856b58936b550b4878d30739c4966b8.256p.jpg,80,LGA 1700,Intel Z690,DDR4,0,2,64,1,0,2,4,1x 2.5GB/s,Wi-Fi 6,Mini-ITX
Asus M4A88T-M Micro ATX AM3 Motherboard,N/A,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/51%2BUAYS9jnL.jpg,80,AM3,AMD 880G,DDR3,0,4,16,1,2,0,N/A,1x 1GB/s,No,Micro-ATX
MSI 890FXA-GD70 ATX AM3 Motherboard,N/A,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/51q-Oe58BYL.jpg,80,AM3,AMD 890FX,DDR3,0,4,16,5,1,0,6,2x 1GB/s,No,ATX
Asus M4A77T/USB3 ATX AM3 Motherboard,N/A,N/A,N/A,https://m.media-amazon.com/images/I/31uM0uegWKL.jpg,80,AM3,AMD 770,DDR3,0,4,16,1,2,0,N/A,1x 1GB/s,No,ATX
Foxconn A9DA ATX AM3 Motherboard,N/A,N/A,N/A,https://static/forever/img/no-image.png,80,AM3,AMD 890GX,DDR3,0,4,16,2,2,0,5,1x 1GB/s,No,ATX
Gigabyte GA-880GM-D2H Micro ATX AM3 Motherboard,N/A,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/61y2qz4GaHL.jpg,80,AM3,AMD 880G,DDR3,0,2,8,1,1,0,N/A,1x 1GB/s,No,Micro-ATX
ASRock 880GXH/USB3 ATX AM3 Motherboard,N/A,95.9,https://www.amazon.com/dp/B003MTOW78?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://images-na.ssl-images-amazon.com/images/I/61-SJe9jEhL.jpg,80,AM3,AMD 880G,DDR3,0,4,16,1,2,0,N/A,1x 1GB/s,No,ATX
ASRock 890FX Deluxe4 ATX AM3 Motherboard,N/A,167.8,https://www.amazon.com/dp/B003Y5KNJ6?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://images-na.ssl-images-amazon.com/images/I/41awZKOILoL.jpg,80,AM3,AMD 890FX,DDR3,0,4,16,3,2,0,8,1x 1GB/s,No,ATX
MSI 880GMA-E55 Micro ATX AM3 Motherboard,N/A,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/41wMPzLLr%2BL.jpg,80,AM3,AMD 880G,DDR3,0,4,16,1,2,0,6,1x 1GB/s,No,Micro-ATX
Zotac GF6100-F-E Micro ATX AM3 Motherboard,N/A,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/514sPRFxG5L.jpg,80,AM3,NVIDIA GeForce 6100,DDR3,0,2,4,1,0,0,N/A,,No,Micro-ATX
ASRock FATAL1TY 970 PERFORMANCE/3.1 ATX AM3+/AM3 Motherboard,N/A,N/A,N/A,https://images-eu.ssl-images-amazon.com/images/I/61KI4gySKBL.jpg,80,AM3+/AM3,AMD 970,DDR3,0,4,64,3,2,1,6,1x 1GB/s,No,ATX
