name,rating,price,amazon_link,image_link,tdp,pcie_gen,capacity,speed_read,speed_write
Silicon Power XS70 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,69.9,https://www.amazon.com/dp/B09T2S1Z8T?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/b5c093326e7f16f0d34445e39316f0ea.256p.jpg,10,4x4,1 TB,N/A,N/A
Corsair MP600 PRO LPX 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,79.9,https://www.amazon.com/dp/B09Q2MW21F?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/667a9649b7d52b5acdef269e5a6ebb91.256p.jpg,10,4x4,1 TB,2988,1485
Crucial MX500 1 TB M.2-2280 SATA Solid State Drive,4.5,N/A,https://www.amazon.de/-/en/gp/product/B01N6PMZLW/ref=ppx_od_dt_b_asin_title_s01?ie=UTF8&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/eca1a45c48840cfd37fd506276cda872.256p.jpg,10,N/A,1 TB,N/A,N/A
Corsair MP600 PRO LPX 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,N/A,79.9,https://www.amazon.com/dp/B0BWYX6BQ3?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/667a9649b7d52b5acdef269e5a6ebb91.256p.jpg,10,4x4,1 TB,N/A,N/A
MSI SPATIUM M370 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/fb36d9f6aa2d22175fc60ecb84ca1bd2.256p.jpg,10,3x4,1 TB,N/A,N/A
Gigabyte GP-GSM2NE3100TNTD 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,4.5,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/a7ef10c9ae70b5492693ca267108e86c.256p.jpg,10,3x4,1 TB,N/A,N/A
Mushkin Tempest 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,N/A,58.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fmushkin-enhanced-1tb-tempest-nvme-1-4%2Fp%2FN82E16820226968,https://cdna.pcpartpicker.com/static/forever/images/product/59b004f379523ea791a2f8fb11012413.256p.jpg,10,3x4,1 TB,N/A,N/A
Kingston KC2000 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/820a5fc34269d4a88c72b95251b60308.256p.jpg,10,3x4,1 TB,N/A,N/A
ADATA XPG GAMMIX S5 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,5.0,139.9,https://adorama.rfvk.net/c/79301/1175784/1036?prodsku=ADMIXS51TTC&u=https%3A%2F%2Fwww.adorama.com%2Fadmixs51ttc.html&intsrc=CATF_9102,https://cdna.pcpartpicker.com/static/forever/images/product/afca5903af5116fc3d3acb73b8a4dd07.256p.jpg,10,3x4,1 TB,N/A,N/A
Solidigm P41 Plus 1 TB M.2-2230 PCIe 4.0 X4 NVME Solid State Drive,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/237236fc3296d59e372d69a8404dfccb.256p.jpg,10,4x4,1 TB,N/A,N/A
