name,rating,price,amazon_link,image_link,tdp,memory,effective memory clock,core clock,boost clock,length,case expansion slot width,external power
Gigabyte OC GeForce GTX 1050 2 GB Video Card,5.0,199.0,https://www.amazon.com/dp/B01MG0733A?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/41YH5E9+i0L.jpg,75,2GB GDDR5,7008,1379,1518,191,2,None
Gigabyte GV-N105TOC-4GD GeForce GTX 1050 Ti 4 GB Video Card,4.9,408.9,https://www.amazon.com/dp/B01M25X363?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/6a3571bd1f0174ddd7ecb8485728662b.256p.jpg,75,4GB GDDR5,7008,1341,1455,191,2,None
Inno3D Compact GeForce GTX 1650 G5 4 GB Video Card,N/A,N/A,N/A,https://images-eu.ssl-images-amazon.com/images/I/51PNzlf5UKL.jpg,75,4GB GDDR5,8000,1485,1665,160,2,None
Palit StormX OC GeForce GTX 1660 Ti 6 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/5210584698d1b22cdc54d85db5e45b35.256p.jpg,120,6GB GDDR6,12000,1500,1815,168,2,1x 8-pin
EVGA KO ULTRA GAMING GeForce RTX 2060 6 GB Video Card,4.6,290.0,https://www.amazon.com/dp/B083GGYNQ6?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/932e869ee03855291c9d97907dd1832d.256p.jpg,160,6GB GDDR6,14000,1365,1755,202,2,1x 8-pin
GALAX EX White GeForce RTX 2060 6 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/698bdc84107c7a5fad7c22d62ceb60d1.256p.jpg,160,6GB GDDR6,14000,1365,1725,245,2,1x 8-pin
EVGA SC GAMING ACX 3.0 Black Edition GeForce GTX 1070 8 GB Video Card,4.9,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/ef6b9749cb49e7393c49c420302ac3cb.256p.jpg,170,8GB GDDR5,8008,1594,1784,267,2,1x 8-pin
Gigabyte WINDFORCE 3X GeForce GTX 1070 8 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/2d924c1c0e5e0541791e52261b62278f.256p.jpg,150,8GB GDDR5,8008,1506,1721,280,2,1x 8-pin
PNY VCGGTX10708XPB-OC-BB GeForce GTX 1070 8 GB Video Card,5.0,N/A,N/A,https://m.media-amazon.com/images/I/31bk8mjVE2L.jpg,150,8GB GDDR5,8000,1518,1708,267,2,1x 8-pin
KFA2 Virtual Edition GeForce GTX 1070 8 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/47b9d17c416a2143f4542dd5da1ab628.256p.jpg,150,8GB GDDR5,8000,1506,1683,N/A,2,1x 8-pin
MSI ARMOR OC GeForce RTX 2060 SUPER 8 GB Video Card,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/8d2e786e50f9b7f0625660f5b561c528.256p.jpg,175,8GB GDDR6,14000,1470,1680,250,2,1x 8-pin
MSI SEA HAWK X GeForce GTX 1080 8 GB Video Card,4.8,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/fee95a8758d92a037872436c7f93a0e9.256p.jpg,180,8GB GDDR5X,10108,1708,1847,270,2,1x 8-pin
Gainward Phoenix GeForce GTX 1080 8 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/6651a817973f4c5c970f74716b6f36a0.256p.jpg,180,8GB GDDR5X,10000,1607,1733,285,2,1x 8-pin + 1x 6-pin
MSI GAMING X GeForce RTX 2070 SUPER 8 GB Video Card,4.8,999.99,https://www.amazon.com/dp/B07YXPVBWW?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/9f64610e3f0198f94dd6443bc84e6e8f.256p.jpg,215,8GB GDDR6,14000,1605,1800,297,2,1x 8-pin + 1x 6-pin
Zotac AMP Extreme GeForce RTX 2070 8 GB Video Card,4.8,N/A,N/A,https://m.media-amazon.com/images/I/31G4tEOZA1L.jpg,185,8GB GDDR6,14400,1410,1860,308,2,1x 8-pin + 1x 6-pin
EVGA FTW3 ULTRA+ GeForce RTX 2070 SUPER 8 GB Video Card,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/20707b793606449ad58d2e05792739f8.256p.jpg,215,8GB GDDR6,15500,1605,1815,302,3,2x 8-pin
Inno3D JET GeForce RTX 2070 SUPER 8 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/7302af091cf7fa0a9765a924bce71a8e.256p.jpg,215,8GB GDDR6,14000,1605,1770,268,2,1x 8-pin + 1x 6-pin
MSI GAMING TRIO GeForce RTX 2080 SUPER 8 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/abced9af1928e503aa4eb528e9c211a2.256p.jpg,250,8GB GDDR6,15500,1650,1815,328,2,2x 8-pin
